Column1,Column2,,,Column3,Column4,Column5,,Column6,Column7,Column8,Column9,,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29
8,STRING_GOODS_8,,T_NEWYORK,GOODS_SNACK,600,코코넛 쿠키,GOODS_EXP,ITEM_RARE_N,100,3000,3000,3,3,1,0,8,0,0,5,0,icon_item_20008_1.png|icon_item_20008_1.png|icon_item_20008_1.png|icon_item_20008_1.png|icon_item_20008_1.png,shop_item_20008_1.png|shop_item_20008_1.png|shop_item_20008_1.png|shop_item_20008_1.png|shop_item_20008_1.png,item_0222_1_f_1.png|item_0222_1_f_2.png|item_0222_1_f_3.png|item_0222_1_f_4.png,item_0222_2_f_1.png|item_0222_2_f_1.png|item_0222_2_f_2.png|item_0222_2_f_2.png,item_0222_3_f_1.png|item_0222_3_f_1.png|item_0222_3_f_1.png|item_0222_3_f_1.png,item_0222_4_f_1.png|item_0222_4_f_1.png|item_0222_4_f_1.png|item_0222_4_f_1.png,item_0222_5_f_1.png|item_0222_5_f_1.png|item_0222_5_f_1.png|item_0222_5_f_1.png,item_0222_1_b_1.png|item_0222_1_b_2.png|item_0222_1_b_3.png|item_0222_1_b_4.png,item_0222_2_b_1.png|item_0222_2_b_1.png|item_0222_2_b_2.png|item_0222_2_b_2.png,item_0222_3_b_1.png|item_0222_3_b_1.png|item_0222_3_b_1.png|item_0222_3_b_1.png,item_0222_4_b_1.png|item_0222_4_b_1.png|item_0222_4_b_1.png|item_0222_4_b_1.png,item_0222_5_b_1.png|item_0222_5_b_1.png|item_0222_5_b_1.png|item_0222_5_b_1.png
9,STRING_GOODS_9,STRING_GOODS_second_9,T_BEIJING,GOODS_SNACK,600,중국과자,GOODS_GOLD,ITEM_RARE_N,100,10000,10000,3,3,1,50,0,0,5,0,0,icon_item_20009_1.png|icon_item_20009_1.png|icon_item_20009_1.png|icon_item_20009_1.png|icon_item_20009_1.png,shop_item_20009_1.png|shop_item_20009_1.png|shop_item_20009_1.png|shop_item_20009_1.png|shop_item_20009_1.png,item_0188_1_f_1.png|item_0188_1_f_1.png|item_0188_1_f_1.png|item_0188_1_f_1.png,item_0188_2_f_1.png|item_0188_2_f_1.png|item_0188_2_f_1.png|item_0188_2_f_1.png,item_0188_3_f_1.png|item_0188_3_f_1.png|item_0188_3_f_1.png|item_0188_3_f_1.png,item_0188_4_f_1.png|item_0188_4_f_1.png|item_0188_4_f_1.png|item_0188_4_f_1.png,item_0188_5_f_1.png|item_0188_5_f_1.png|item_0188_5_f_1.png|item_0188_5_f_1.png,item_0188_1_b_1.png|item_0188_1_b_1.png|item_0188_1_b_1.png|item_0188_1_b_1.png,item_0188_2_b_1.png|item_0188_2_b_1.png|item_0188_2_b_1.png|item_0188_2_b_1.png,item_0188_3_b_1.png|item_0188_3_b_1.png|item_0188_3_b_1.png|item_0188_3_b_1.png,item_0188_4_b_1.png|item_0188_4_b_1.png|item_0188_4_b_1.png|item_0188_4_b_1.png,item_0188_5_b_1.png|item_0188_5_b_1.png|item_0188_5_b_1.png|item_0188_5_b_1.png
10,STRING_GOODS_10,,T_BEIJING,GOODS_SNACK,600,연양갱,GOODS_EXP,ITEM_RARE_N,100,4000,4000,3,3,1,0,12,0,0,5,0,icon_item_20010_1.png|icon_item_20010_1.png|icon_item_20010_1.png|icon_item_20010_1.png|icon_item_20010_1.png,shop_item_20010_1.png|shop_item_20010_1.png|shop_item_20010_1.png|shop_item_20010_1.png|shop_item_20010_1.png,item_0167_1_f_1.png|item_0167_1_f_2.png|item_0167_1_f_3.png|item_0167_1_f_4.png,item_0167_1_f_1.png|item_0167_1_f_2.png|item_0167_1_f_3.png|item_0167_1_f_4.png,item_0167_1_f_1.png|item_0167_1_f_2.png|item_0167_1_f_3.png|item_0167_1_f_4.png,item_0167_1_f_1.png|item_0167_1_f_2.png|item_0167_1_f_3.png|item_0167_1_f_4.png,item_0167_1_f_1.png|item_0167_1_f_2.png|item_0167_1_f_3.png|item_0167_1_f_4.png,item_0167_1_b_1.png|item_0167_1_b_2.png|item_0167_1_b_3.png|item_0167_1_b_4.png,item_0167_1_b_1.png|item_0167_1_b_2.png|item_0167_1_b_3.png|item_0167_1_b_4.png,item_0167_1_b_1.png|item_0167_1_b_2.png|item_0167_1_b_3.png|item_0167_1_b_4.png,item_0167_1_b_1.png|item_0167_1_b_2.png|item_0167_1_b_3.png|item_0167_1_b_4.png,item_0167_1_b_1.png|item_0167_1_b_2.png|item_0167_1_b_3.png|item_0167_1_b_4.png
11,STRING_GOODS_11,,T_TOKYO,GOODS_SNACK,600,화과자,GOODS_GOLD,ITEM_RARE_N,100,3000,3000,3,3,1,36,0,0,5,0,0,icon_item_20011_1.png|icon_item_20011_1.png|icon_item_20011_1.png|icon_item_20011_1.png|icon_item_20011_1.png,shop_item_20011_1.png|shop_item_20011_1.png|shop_item_20011_1.png|shop_item_20011_1.png|shop_item_20011_1.png,item_0155_1_f_1.png|item_0155_1_f_1.png|item_0155_1_f_2.png|item_0155_1_f_2.png,item_0155_1_f_1.png|item_0155_1_f_1.png|item_0155_1_f_2.png|item_0155_1_f_2.png,item_0155_1_f_1.png|item_0155_1_f_1.png|item_0155_1_f_2.png|item_0155_1_f_2.png,item_0155_1_f_1.png|item_0155_1_f_1.png|item_0155_1_f_2.png|item_0155_1_f_2.png,item_0155_1_f_1.png|item_0155_1_f_1.png|item_0155_1_f_2.png|item_0155_1_f_2.png,item_0155_1_b_1.png|item_0155_1_b_1.png|item_0155_1_b_2.png|item_0155_1_b_2.png,item_0155_1_b_1.png|item_0155_1_b_1.png|item_0155_1_b_2.png|item_0155_1_b_2.png,item_0155_1_b_1.png|item_0155_1_b_1.png|item_0155_1_b_2.png|item_0155_1_b_2.png,item_0155_1_b_1.png|item_0155_1_b_1.png|item_0155_1_b_2.png|item_0155_1_b_2.png,item_0155_1_b_1.png|item_0155_1_b_1.png|item_0155_1_b_2.png|item_0155_1_b_2.png
12,STRING_GOODS_12,,T_VENEZIA,GOODS_SNACK,600,와플,GOODS_EXP,ITEM_RARE_N,100,3000,3000,3,3,1,0,15,0,0,5,0,icon_item_20012_1.png|icon_item_20012_1.png|icon_item_20012_1.png|icon_item_20012_1.png|icon_item_20012_1.png,shop_item_20012_1.png|shop_item_20012_1.png|shop_item_20012_1.png|shop_item_20012_1.png|shop_item_20012_1.png,item_0050_1_f_1.png|item_0050_1_f_1.png|item_0050_1_f_1.png|item_0050_1_f_1.png,item_0050_2_f_1.png|item_0050_2_f_1.png|item_0050_2_f_1.png|item_0050_2_f_1.png,item_0050_3_f_1.png|item_0050_3_f_1.png|item_0050_3_f_1.png|item_0050_3_f_1.png,item_0050_4_f_1.png|item_0050_4_f_1.png|item_0050_4_f_1.png|item_0050_4_f_1.png,item_0050_5_f_1.png|item_0050_5_f_1.png|item_0050_5_f_1.png|item_0050_5_f_1.png,item_0050_1_f_1.png|item_0050_1_f_1.png|item_0050_1_f_1.png|item_0050_1_f_1.png,item_0050_2_f_1.png|item_0050_2_f_1.png|item_0050_2_f_1.png|item_0050_2_f_1.png,item_0050_3_f_1.png|item_0050_3_f_1.png|item_0050_3_f_1.png|item_0050_3_f_1.png,item_0050_4_f_1.png|item_0050_4_f_1.png|item_0050_4_f_1.png|item_0050_4_f_1.png,item_0050_5_f_1.png|item_0050_5_f_1.png|item_0050_5_f_1.png|item_0050_5_f_1.png
13,STRING_GOODS_13,,T_NEWYORK,GOODS_SNACK,600,푸랑굴스,GOODS_GOLD,ITEM_RARE_N,100,4000,4000,3,3,1,44,0,0,5,0,0,icon_item_20013_1.png|icon_item_20013_1.png|icon_item_20013_1.png|icon_item_20013_1.png|icon_item_20013_1.png,shop_item_20013_1.png|shop_item_20013_1.png|shop_item_20013_1.png|shop_item_20013_1.png|shop_item_20013_1.png,item_0054_1_f_1.png|item_0054_1_f_2.png|item_0054_1_f_3.png|item_0054_1_f_4.png,item_0054_2_f_1.png|item_0054_2_f_1.png|item_0054_2_f_2.png|item_0054_2_f_2.png,item_0054_3_f_1.png|item_0054_3_f_1.png|item_0054_3_f_1.png|item_0054_3_f_1.png,item_0054_3_f_1.png|item_0054_3_f_1.png|item_0054_3_f_1.png|item_0054_3_f_1.png,item_0054_3_f_1.png|item_0054_3_f_1.png|item_0054_3_f_1.png|item_0054_3_f_1.png,item_0054_1_b_1.png|item_0054_1_b_2.png|item_0054_1_b_3.png|item_0054_1_b_4.png,item_0054_2_b_1.png|item_0054_2_b_1.png|item_0054_2_b_2.png|item_0054_2_b_2.png,item_0054_3_b_1.png|item_0054_3_b_1.png|item_0054_3_b_1.png|item_0054_3_b_1.png,item_0054_3_b_1.png|item_0054_3_b_1.png|item_0054_3_b_1.png|item_0054_3_b_1.png,item_0054_3_b_1.png|item_0054_3_b_1.png|item_0054_3_b_1.png|item_0054_3_b_1.png
14,STRING_GOODS_14,,T_VENEZIA,GOODS_SNACK,600,마가렛,GOODS_GOLD,ITEM_RARE_N,100,4000,4000,3,3,1,45,0,0,5,0,0,icon_item_20014_1.png|icon_item_20014_1.png|icon_item_20014_1.png|icon_item_20014_1.png|icon_item_20014_1.png,shop_item_20014_1.png|shop_item_20014_1.png|shop_item_20014_1.png|shop_item_20014_1.png|shop_item_20014_1.png,item_0080_1_f_1.png|item_0080_1_f_2.png|item_0080_1_f_3.png|item_0080_1_f_4.png,item_0080_2_f_1.png|item_0080_2_f_1.png|item_0080_2_f_2.png|item_0080_2_f_2.png,item_0080_3_f_1.png|item_0080_3_f_1.png|item_0080_3_f_2.png|item_0080_3_f_2.png,item_0080_3_f_1.png|item_0080_3_f_1.png|item_0080_3_f_2.png|item_0080_3_f_2.png,item_0080_3_f_1.png|item_0080_3_f_1.png|item_0080_3_f_2.png|item_0080_3_f_2.png,item_0080_1_b_1.png|item_0080_1_b_2.png|item_0080_1_b_3.png|item_0080_1_b_4.png,item_0080_2_b_1.png|item_0080_2_b_1.png|item_0080_2_b_2.png|item_0080_2_b_2.png,item_0080_3_b_1.png|item_0080_3_b_1.png|item_0080_3_b_2.png|item_0080_3_b_2.png,item_0080_3_b_1.png|item_0080_3_b_1.png|item_0080_3_b_2.png|item_0080_3_b_2.png,item_0080_3_b_1.png|item_0080_3_b_1.png|item_0080_3_b_2.png|item_0080_3_b_2.png
15,STRING_GOODS_15,,T_TOKYO,GOODS_SNACK,600,유과,GOODS_EXP,ITEM_RARE_N,100,4000,4000,3,3,1,0,12,0,0,5,0,icon_item_20015_1.png|icon_item_20015_1.png|icon_item_20015_1.png|icon_item_20015_1.png|icon_item_20015_1.png,shop_item_20015_1.png|shop_item_20015_1.png|shop_item_20015_1.png|shop_item_20015_1.png|shop_item_20015_1.png,item_0168_1_f_1.png|item_0168_1_f_1.png|item_0168_1_f_1.png|item_0168_1_f_1.png,item_0168_1_f_1.png|item_0168_1_f_1.png|item_0168_1_f_1.png|item_0168_1_f_1.png,item_0168_1_f_1.png|item_0168_1_f_1.png|item_0168_1_f_1.png|item_0168_1_f_1.png,item_0168_1_f_1.png|item_0168_1_f_1.png|item_0168_1_f_1.png|item_0168_1_f_1.png,item_0168_1_f_1.png|item_0168_1_f_1.png|item_0168_1_f_1.png|item_0168_1_f_1.png,item_0168_1_b_1.png|item_0168_1_b_1.png|item_0168_1_b_1.png|item_0168_1_b_1.png,item_0168_1_b_1.png|item_0168_1_b_1.png|item_0168_1_b_1.png|item_0168_1_b_1.png,item_0168_1_b_1.png|item_0168_1_b_1.png|item_0168_1_b_1.png|item_0168_1_b_1.png,item_0168_1_b_1.png|item_0168_1_b_1.png|item_0168_1_b_1.png|item_0168_1_b_1.png,item_0168_1_b_1.png|item_0168_1_b_1.png|item_0168_1_b_1.png|item_0168_1_b_1.png
16,STRING_GOODS_16,,T_BEIJING,GOODS_SNACK,600,다이겟,GOODS_EXP,ITEM_RARE_N,100,3000,3000,3,3,1,0,8,0,0,5,0,icon_item_20016_1.png|icon_item_20016_1.png|icon_item_20016_1.png|icon_item_20016_1.png|icon_item_20016_1.png,shop_item_20016_1.png|shop_item_20016_1.png|shop_item_20016_1.png|shop_item_20016_1.png|shop_item_20016_1.png,item_0205_1_f_1.png|item_0205_1_f_2.png|item_0205_1_f_3.png|item_0205_1_f_4.png,item_0205_2_f_1.png|item_0205_2_f_1.png|item_0205_2_f_2.png|item_0205_2_f_2.png,item_0205_3_f_1.png|item_0205_3_f_1.png|item_0205_3_f_1.png|item_0205_3_f_1.png,item_0205_4_f_1.png|item_0205_4_f_1.png|item_0205_4_f_1.png|item_0205_4_f_1.png,item_0205_5_f_1.png|item_0205_5_f_1.png|item_0205_5_f_1.png|item_0205_5_f_1.png,item_0205_1_b_1.png|item_0205_1_b_2.png|item_0205_1_b_3.png|item_0205_1_b_4.png,item_0205_2_b_1.png|item_0205_2_b_1.png|item_0205_2_b_2.png|item_0205_2_b_2.png,item_0205_3_b_1.png|item_0205_3_b_1.png|item_0205_3_b_1.png|item_0205_3_b_1.png,item_0205_4_b_1.png|item_0205_4_b_1.png|item_0205_4_b_1.png|item_0205_4_b_1.png,item_0205_5_b_1.png|item_0205_5_b_1.png|item_0205_5_b_1.png|item_0205_5_b_1.png
17,STRING_GOODS_17,,T_BEIJING,GOODS_SNACK,600,초코타임,GOODS_GOLD,ITEM_RARE_N,100,3000,3000,3,3,1,36,0,0,5,0,0,icon_item_20017_1.png|icon_item_20017_1.png|icon_item_20017_1.png|icon_item_20017_1.png|icon_item_20017_1.png,shop_item_20017_1.png|shop_item_20017_1.png|shop_item_20017_1.png|shop_item_20017_1.png|shop_item_20017_1.png,item_0215_1_f_1.png|item_0215_1_f_2.png|item_0215_1_f_3.png|item_0215_1_f_4.png,item_0215_2_f_1.png|item_0215_2_f_1.png|item_0215_2_f_2.png|item_0215_2_f_2.png,item_0215_3_f_1.png|item_0215_3_f_1.png|item_0215_3_f_1.png|item_0215_3_f_1.png,item_0215_4_f_1.png|item_0215_4_f_1.png|item_0215_4_f_1.png|item_0215_4_f_1.png,item_0215_5_f_1.png|item_0215_5_f_1.png|item_0215_5_f_1.png|item_0215_5_f_1.png,item_0215_1_b_1.png|item_0215_1_b_2.png|item_0215_1_b_3.png|item_0215_1_b_4.png,item_0215_2_b_1.png|item_0215_2_b_1.png|item_0215_2_b_2.png|item_0215_2_b_2.png,item_0215_3_b_1.png|item_0215_3_b_1.png|item_0215_3_b_1.png|item_0215_3_b_1.png,item_0215_4_b_1.png|item_0215_4_b_1.png|item_0215_4_b_1.png|item_0215_4_b_1.png,item_0215_5_b_1.png|item_0215_5_b_1.png|item_0215_5_b_1.png|item_0215_5_b_1.png
18,STRING_GOODS_18,STRING_GOODS_second_18,T_VENEZIA,GOODS_SNACK,600,라즈베리 마카롱,GOODS_EXP,ITEM_RARE_N,100,4000,4000,3,3,1,0,14,0,0,5,0,icon_item_20018_1.png|icon_item_20018_1.png|icon_item_20018_1.png|icon_item_20018_1.png|icon_item_20018_1.png,shop_item_20018_1.png|shop_item_20018_1.png|shop_item_20018_1.png|shop_item_20018_1.png|shop_item_20018_1.png,item_1001_1_f_1.png|item_1001_1_f_1.png|item_1001_1_f_2.png|item_1001_1_f_2.png,item_1001_2_f_1.png|item_1001_2_f_1.png|item_1001_2_f_2.png|item_1001_2_f_2.png,item_1001_3_f_1.png|item_1001_3_f_1.png|item_1001_3_f_1.png|item_1001_3_f_1.png,item_1001_4_f_1.png|item_1001_4_f_1.png|item_1001_4_f_1.png|item_1001_4_f_1.png,item_1001_5_f_1.png|item_1001_5_f_1.png|item_1001_5_f_1.png|item_1001_5_f_1.png,item_1001_1_b_1.png|item_1001_1_b_1.png|item_1001_1_b_2.png|item_1001_1_b_2.png,item_1001_2_b_1.png|item_1001_2_b_1.png|item_1001_2_b_2.png|item_1001_2_b_2.png,item_1001_3_b_1.png|item_1001_3_b_1.png|item_1001_3_b_1.png|item_1001_3_b_1.png,item_1001_4_b_1.png|item_1001_4_b_1.png|item_1001_4_b_1.png|item_1001_4_b_1.png,item_1001_5_b_1.png|item_1001_5_b_1.png|item_1001_5_b_1.png|item_1001_5_b_1.png
